"","Participant","Label","SliderResponse","Number","TrialType","Valence","LexicalType","ContextCondition","Group","Name","StudyLanguage","Nativeness"
"306",170,"expletive_test","91","5","test","pos","pej","AO","A","IPP5","Italian","L2"
"307",170,"expletive_test","37","2","test","neg","pej","AO","A","IPN2","Italian","L2"
"308",170,"expletive_test","27","22","filler","pos","adj","AO","A","INF22","Italian","L2"
"309",170,"expletive_test","24","9","test","pos","pej","NEU","A","IPP9","Italian","L2"
"310",170,"expletive_test","72","17","filler","pos","adj","TO","A","INF17","Italian","L2"
"311",170,"expletive_test","55","12","filler","neg","adj","AO","A","INF12","Italian","L2"
"312",170,"expletive_test","87","1","test","pos","adj","TO","A","IAP1","Italian","L2"
"313",170,"expletive_test","88","1","test","neg","adj","TO","A","IAN1","Italian","L2"
"314",170,"expletive_test","35","7","filler","neg","adj","AO","A","INF7","Italian","L2"
"315",170,"expletive_test","40","1","test","neg","pej","TO","A","IPN1","Italian","L2"
"316",170,"expletive_test","66","16","filler","pos","adj","TO","A","INF16","Italian","L2"
"317",170,"expletive_test","82","21","filler","pos","adj","AO","A","INF21","Italian","L2"
"318",170,"expletive_test","87","19","filler","pos","adj","AO","A","INF19","Italian","L2"
"319",170,"expletive_test","94","4","test","pos","adj","TO","A","IAP4","Italian","L2"
"320",170,"expletive_test","69","3","test","pos","pej","NEU","A","IPP3","Italian","L2"
"321",170,"expletive_test","11","3","test","neg","adj","NEU","A","IAN3","Italian","L2"
"322",170,"expletive_test","17","8","filler","neg","adj","AO","A","INF8","Italian","L2"
"323",170,"expletive_test","90","8","test","pos","pej","AO","A","IPP8","Italian","L2"
"324",170,"expletive_test","7","9","test","neg","adj","NEU","A","IAN9","Italian","L2"
