"","X","Participant","Label","SliderResponse","Number","TrialType","Valence","LexicalType","ContextCondition","Group","Name","StudyLanguage","Nativeness"
"185",185,57,"expletive_test",61,9,"test","neg","adj","NEU","C","IAN9","Italian","L1"
"186",186,57,"expletive_test",66,6,"test","neg","adj","NEU","C","IAN6","Italian","L1"
"187",187,57,"expletive_test",33,6,"test","neg","pej","NEU","C","IPN6","Italian","L1"
"188",188,57,"expletive_test",36,2,"test","neg","adj","AO","C","IAN2","Italian","L1"
"189",189,57,"expletive_test",33,8,"test","neg","adj","AO","C","IAN8","Italian","L1"
"190",190,57,"expletive_test",28,1,"test","pos","pej","TO","C","IPP1","Italian","L1"
"191",191,57,"expletive_test",74,11,"filler","neg","adj","AO","C","INF11","Italian","L1"
"192",192,57,"expletive_test",35,2,"filler","neg","adj","TO","C","INF2","Italian","L1"
"193",193,57,"expletive_test",76,3,"test","neg","pej","NEU","C","IPN3","Italian","L1"
"194",194,57,"expletive_test",11,1,"test","pos","adj","TO","C","IAP1","Italian","L1"
"195",195,57,"expletive_test",64,16,"filler","pos","adj","TO","C","INF16","Italian","L1"
"196",196,57,"expletive_test",61,19,"filler","pos","adj","AO","C","INF19","Italian","L1"
"197",197,57,"expletive_test",0,8,"test","neg","pej","AO","C","IPN8","Italian","L1"
"198",198,57,"expletive_test",15,23,"filler","pos","adj","AO","C","INF23","Italian","L1"
"199",199,57,"expletive_test",87,4,"test","pos","pej","TO","C","IPP4","Italian","L1"
"200",200,57,"expletive_test",79,6,"test","pos","pej","NEU","C","IPP6","Italian","L1"
"201",201,57,"expletive_test",19,7,"test","neg","adj","TO","C","IAN7","Italian","L1"
"202",202,57,"expletive_test",88,4,"test","pos","adj","TO","C","IAP4","Italian","L1"
"203",203,57,"expletive_test",83,15,"filler","pos","adj","TO","C","INF15","Italian","L1"
"204",204,57,"expletive_test",77,18,"filler","pos","adj","TO","C","INF18","Italian","L1"
"205",205,57,"expletive_test",22,10,"filler","neg","adj","AO","C","INF10","Italian","L1"
"206",206,57,"expletive_test",39,3,"test","pos","adj","NEU","C","IAP3","Italian","L1"
"207",207,57,"expletive_test",79,8,"test","pos","pej","AO","C","IPP8","Italian","L1"
"208",208,57,"expletive_test",83,9,"test","pos","pej","NEU","C","IPP9","Italian","L1"
"209",209,57,"expletive_test",12,7,"filler","neg","adj","AO","C","INF7","Italian","L1"
"210",210,57,"expletive_test",34,2,"test","pos","pej","AO","C","IPP2","Italian","L1"
"211",211,57,"expletive_test",84,1,"test","neg","adj","TO","C","IAN1","Italian","L1"
"212",212,57,"expletive_test",29,1,"filler","neg","adj","TO","C","ITN1","Italian","L1"
"213",213,57,"expletive_test",67,7,"test","pos","pej","TO","C","IPP7","Italian","L1"
"214",214,57,"expletive_test",96,12,"filler","neg","adj","AO","C","INF12","Italian","L1"
"215",215,57,"expletive_test",10,4,"test","neg","adj","TO","C","IAN4","Italian","L1"
"216",216,57,"expletive_test",35,4,"test","neg","pej","TO","C","IPN4","Italian","L1"
"217",217,57,"expletive_test",30,3,"test","neg","adj","NEU","C","IAN3","Italian","L1"
"218",218,57,"expletive_test",21,9,"test","pos","adj","NEU","C","IAP9","Italian","L1"
"219",219,57,"expletive_test",70,21,"filler","pos","adj","AO","C","INF21","Italian","L1"
"220",220,57,"expletive_test",31,5,"test","neg","adj","AO","C","IAN5","Italian","L1"
"221",221,57,"expletive_test",87,20,"filler","pos","adj","AO","C","INF20","Italian","L1"
"222",222,57,"expletive_test",91,14,"filler","pos","adj","TO","C","INF14","Italian","L1"
"223",223,57,"expletive_test",74,6,"filler","neg","adj","TO","C","INF6","Italian","L1"
"224",224,57,"expletive_test",49,7,"test","neg","pej","TO","C","IPN7","Italian","L1"
"225",225,57,"expletive_test",54,3,"test","pos","pej","NEU","C","IPP3","Italian","L1"
"226",226,57,"expletive_test",24,2,"test","pos","adj","AO","C","IAP2","Italian","L1"
"227",227,57,"expletive_test",21,24,"filler","pos","adj","AO","C","INF24","Italian","L1"
"228",228,57,"expletive_test",22,5,"test","pos","pej","AO","C","IPP5","Italian","L1"
"229",229,57,"expletive_test",34,6,"test","pos","adj","NEU","C","IAP6","Italian","L1"
"230",230,57,"expletive_test",39,5,"test","pos","adj","AO","C","IAP5","Italian","L1"
"231",231,57,"expletive_test",76,7,"test","pos","adj","TO","C","IAP7","Italian","L1"
"232",232,57,"expletive_test",56,17,"filler","pos","adj","TO","C","INF17","Italian","L1"
"233",233,57,"expletive_test",39,22,"filler","pos","adj","AO","C","INF22","Italian","L1"
"234",234,57,"expletive_test",52,3,"filler","neg","adj","TO","C","INF3","Italian","L1"
"235",235,57,"expletive_test",57,5,"filler","neg","adj","TO","C","INF5","Italian","L1"
"236",236,57,"expletive_test",72,2,"test","neg","pej","AO","C","IPN2","Italian","L1"
"237",237,57,"expletive_test",72,4,"filler","neg","adj","TO","C","INF4","Italian","L1"
"238",238,57,"expletive_test",27,9,"filler","neg","adj","AO","C","INF9","Italian","L1"
"239",239,57,"expletive_test",59,1,"test","neg","pej","TO","C","IPN1","Italian","L1"
"240",240,57,"expletive_test",35,8,"test","pos","adj","AO","C","IAP8","Italian","L1"
"241",241,167,"expletive_test",71,2,"test","pos","adj","AO","C","IAP2","Italian","L1"
"242",242,167,"expletive_test",45,8,"test","neg","pej","AO","C","IPN8","Italian","L1"
"243",243,167,"expletive_test",98,1,"test","pos","adj","TO","C","IAP1","Italian","L1"
"244",244,167,"expletive_test",21,3,"test","neg","adj","NEU","C","IAN3","Italian","L1"
"245",245,167,"expletive_test",16,6,"filler","neg","adj","TO","C","INF6","Italian","L1"
"246",246,167,"expletive_test",97,18,"filler","pos","adj","TO","C","INF18","Italian","L1"
"247",247,167,"expletive_test",38,3,"filler","neg","adj","TO","C","INF3","Italian","L1"
"248",248,167,"expletive_test",98,2,"test","pos","pej","AO","C","IPP2","Italian","L1"
"249",249,167,"expletive_test",94,2,"filler","neg","adj","TO","C","INF2","Italian","L1"
"250",250,167,"expletive_test",48,3,"test","pos","adj","NEU","C","IAP3","Italian","L1"
"251",251,167,"expletive_test",93,6,"test","pos","pej","NEU","C","IPP6","Italian","L1"
"252",252,167,"expletive_test",92,1,"test","pos","pej","TO","C","IPP1","Italian","L1"
"253",253,167,"expletive_test",19,2,"test","neg","pej","AO","C","IPN2","Italian","L1"
"254",254,167,"expletive_test",54,6,"test","pos","adj","NEU","C","IAP6","Italian","L1"
"255",255,167,"expletive_test",62,5,"test","pos","pej","AO","C","IPP5","Italian","L1"
"256",256,167,"expletive_test",62,9,"test","pos","adj","NEU","C","IAP9","Italian","L1"
"257",257,167,"expletive_test",85,22,"filler","pos","adj","AO","C","INF22","Italian","L1"
"258",258,167,"expletive_test",99,20,"filler","pos","adj","AO","C","INF20","Italian","L1"
"259",259,167,"expletive_test",36,9,"filler","neg","adj","AO","C","INF9","Italian","L1"
"260",260,167,"expletive_test",10,4,"test","pos","adj","TO","C","IAP4","Italian","L1"
"261",261,167,"expletive_test",25,9,"test","neg","pej","NEU","C","IPN9","Italian","L1"
"262",262,167,"expletive_test",99,1,"test","neg","pej","TO","C","IPN1","Italian","L1"
"263",263,167,"expletive_test",99,1,"filler","neg","adj","TO","C","ITN1","Italian","L1"
"264",264,167,"expletive_test",85,8,"test","pos","pej","AO","C","IPP8","Italian","L1"
"265",265,167,"expletive_test",0,5,"test","neg","pej","AO","C","IPN5","Italian","L1"
"266",266,167,"expletive_test",3,2,"test","neg","adj","AO","C","IAN2","Italian","L1"
"267",267,167,"expletive_test",87,13,"filler","pos","adj","TO","C","INF13","Italian","L1"
"268",268,167,"expletive_test",77,3,"test","pos","pej","NEU","C","IPP3","Italian","L1"
"269",269,167,"expletive_test",15,7,"filler","neg","adj","AO","C","INF7","Italian","L1"
"270",270,167,"expletive_test",7,1,"test","neg","adj","TO","C","IAN1","Italian","L1"
"271",271,167,"expletive_test",8,5,"test","pos","adj","AO","C","IAP5","Italian","L1"
"272",272,167,"expletive_test",40,8,"filler","neg","adj","AO","C","INF8","Italian","L1"
"273",273,167,"expletive_test",29,23,"filler","pos","adj","AO","C","INF23","Italian","L1"
"274",274,167,"expletive_test",85,15,"filler","pos","adj","TO","C","INF15","Italian","L1"
"275",275,167,"expletive_test",91,4,"filler","neg","adj","TO","C","INF4","Italian","L1"
"276",276,167,"expletive_test",96,5,"filler","neg","adj","TO","C","INF5","Italian","L1"
"277",277,167,"expletive_test",2,12,"filler","neg","adj","AO","C","INF12","Italian","L1"
"278",278,167,"expletive_test",9,9,"test","neg","adj","NEU","C","IAN9","Italian","L1"
"279",279,167,"expletive_test",13,10,"filler","neg","adj","AO","C","INF10","Italian","L1"
"280",280,167,"expletive_test",72,24,"filler","pos","adj","AO","C","INF24","Italian","L1"
"281",281,167,"expletive_test",78,8,"test","pos","adj","AO","C","IAP8","Italian","L1"
"282",282,167,"expletive_test",99,17,"filler","pos","adj","TO","C","INF17","Italian","L1"
"283",283,167,"expletive_test",99,7,"test","pos","pej","TO","C","IPP7","Italian","L1"
"284",284,167,"expletive_test",60,9,"test","pos","pej","NEU","C","IPP9","Italian","L1"
"285",285,167,"expletive_test",99,4,"test","pos","pej","TO","C","IPP4","Italian","L1"
"286",286,167,"expletive_test",0,3,"test","neg","pej","NEU","C","IPN3","Italian","L1"
"287",287,167,"expletive_test",97,4,"test","neg","adj","TO","C","IAN4","Italian","L1"
"288",288,167,"expletive_test",40,8,"test","neg","adj","AO","C","IAN8","Italian","L1"
"289",289,167,"expletive_test",99,7,"test","neg","pej","TO","C","IPN7","Italian","L1"
"290",290,167,"expletive_test",99,7,"test","pos","adj","TO","C","IAP7","Italian","L1"
"291",291,167,"expletive_test",11,5,"test","neg","adj","AO","C","IAN5","Italian","L1"
"292",292,167,"expletive_test",71,7,"test","neg","adj","TO","C","IAN7","Italian","L1"
"293",293,167,"expletive_test",99,19,"filler","pos","adj","AO","C","INF19","Italian","L1"
"294",294,167,"expletive_test",97,16,"filler","pos","adj","TO","C","INF16","Italian","L1"
"295",295,167,"expletive_test",11,11,"filler","neg","adj","AO","C","INF11","Italian","L1"
"296",296,167,"expletive_test",85,21,"filler","pos","adj","AO","C","INF21","Italian","L1"
"297",297,167,"expletive_test",99,4,"test","neg","pej","TO","C","IPN4","Italian","L1"
"298",298,167,"expletive_test",15,6,"test","neg","pej","NEU","C","IPN6","Italian","L1"
"299",299,167,"expletive_test",3,6,"test","neg","adj","NEU","C","IAN6","Italian","L1"
"300",300,167,"expletive_test",78,14,"filler","pos","adj","TO","C","INF14","Italian","L1"
"301",301,135,"expletive_test",26,5,"test","neg","pej","AO","A","IPN5","Italian","L1"
"302",302,135,"expletive_test",19,9,"test","neg","pej","NEU","A","IPN9","Italian","L1"
