"","Participant","Word","likert_arousal","likert_valence","StudyLanguage","Nativeness"
"395",178,"elegante","3","7","Italian","L2"
"396",178,"leale","2","8","Italian","L2"
"397",178,"bugiarda","7","2","Italian","L2"
"398",178,"riservata","3","6","Italian","L2"
"399",178,"affidabile","2","8","Italian","L2"
"400",178,"saggia","3","7","Italian","L2"
"401",178,"cauta","1","7","Italian","L2"
"402",178,"scrupolosa","2","7","Italian","L2"
"403",178,"stronzo","8","1","Italian","L2"
"404",178,"sleale","7","3","Italian","L2"
"405",178,"gentile","1","8","Italian","L2"
"406",178,"negativo","6","3","Italian","L2"
"407",178,"buono","2","7","Italian","L2"
"408",178,"paziente","2","7","Italian","L2"
"409",178,"scortese","8","1","Italian","L2"
"410",178,"meschina","7","2","Italian","L2"
"411",178,"tesoro","2","8","Italian","L2"
"412",178,"pigra","6","3","Italian","L2"
"413",178,"osceno","8","2","Italian","L2"
"414",178,"santo","3","7","Italian","L2"
"415",178,"cattivo","8","2","Italian","L2"
"416",178,"crudele","8","1","Italian","L2"
"417",238,"riservata","2","5","Italian","L2"
"418",238,"tesoro","4","9","Italian","L2"
"419",238,"scrupolosa","3","3","Italian","L2"
"420",238,"saggia","2","9","Italian","L2"
"421",238,"osceno","1","1","Italian","L2"
"422",238,"sleale","5","1","Italian","L2"
"423",238,"santo","3","6","Italian","L2"
"424",238,"stronzo","5","1","Italian","L2"
"425",238,"indiscreta","5","1","Italian","L2"
"426",238,"inaffidabile","5","1","Italian","L2"
"427",238,"cauta","3","6","Italian","L2"
"428",238,"buono","3","7","Italian","L2"
"429",238,"negativo","5","1","Italian","L2"
"430",238,"scortese","5","1","Italian","L2"
"431",238,"crudele","5","1","Italian","L2"
"432",238,"cattivo","5","1","Italian","L2"
"433",238,"elegante","7","8","Italian","L2"
"434",238,"leale","3","9","Italian","L2"
"435",238,"pigra","3","3","Italian","L2"
"436",238,"bugiarda","3","1","Italian","L2"
"437",238,"meschina","3","1","Italian","L2"
"438",238,"positivo","1","9","Italian","L2"
"439",238,"gentile","1","9","Italian","L2"
"440",238,"affidabile","1","9","Italian","L2"
"441",238,"demone","2","1","Italian","L2"
"442",238,"paziente","5","7","Italian","L2"
"443",205,"riservata","1","8","Italian","L2"
"444",205,"osceno","1","1","Italian","L2"
"445",205,"meschina","1","1","Italian","L2"
"446",205,"cauta","1","9","Italian","L2"
"447",205,"scortese","1","1","Italian","L2"
"448",205,"negativo","1","1","Italian","L2"
"449",205,"sleale","1","1","Italian","L2"
"450",205,"cattivo","1","1","Italian","L2"
"451",205,"pigra","1","1","Italian","L2"
"452",205,"saggia","1","9","Italian","L2"
"453",205,"santo","1","8","Italian","L2"
"454",205,"stronzo","1","1","Italian","L2"
"455",205,"scrupolosa","1","9","Italian","L2"
"456",205,"positivo","1","9","Italian","L2"
"457",205,"paziente","1","9","Italian","L2"
"458",205,"affidabile","1","9","Italian","L2"
"459",205,"elegante","1","9","Italian","L2"
"460",205,"indiscreta","1","1","Italian","L2"
"461",205,"inaffidabile","1","1","Italian","L2"
"462",205,"demone","1","1","Italian","L2"
"463",205,"gentile","1","9","Italian","L2"
"464",205,"leale","1","9","Italian","L2"
"465",205,"crudele","1","1","Italian","L2"
"466",205,"tesoro","1","9","Italian","L2"
"467",205,"bugiarda","1","1","Italian","L2"
"468",205,"buono","1","9","Italian","L2"
"469",43,"pigra","1","3","Italian","L2"
"470",43,"riservata","1","5","Italian","L2"
"471",43,"sleale","6","1","Italian","L2"
"472",43,"cattivo","5","1","Italian","L2"
"473",43,"demone","8","3","Italian","L2"
"474",43,"osceno","9","4","Italian","L2"
"475",43,"leale","3","8","Italian","L2"
"476",43,"crudele","6","1","Italian","L2"
"477",43,"cauta","2","5","Italian","L2"
"478",43,"scrupolosa","5","5","Italian","L2"
"479",43,"meschina","7","3","Italian","L2"
"480",43,"santo","3","6","Italian","L2"
"481",43,"paziente","1","7","Italian","L2"
"482",43,"scortese","9","2","Italian","L2"
"483",43,"positivo","6","9","Italian","L2"
"484",43,"buono","5","9","Italian","L2"
"485",43,"affidabile","7","9","Italian","L2"
"486",43,"elegante","7","7","Italian","L2"
"487",43,"gentile","7","9","Italian","L2"
"488",43,"negativo","5","1","Italian","L2"
"489",43,"saggia","1","9","Italian","L2"
"490",43,"inaffidabile","5","1","Italian","L2"
"491",43,"bugiarda","1","3","Italian","L2"
"492",43,"indiscreta","8","5","Italian","L2"
"493",43,"tesoro","5","7","Italian","L2"
"494",43,"stronzo","9","1","Italian","L2"
"495",146,"affidabile","1","9","Italian","L2"
"496",146,"buono","1","9","Italian","L2"
"497",146,"indiscreta","7","3","Italian","L2"
"498",146,"positivo","9","9","Italian","L2"
"499",146,"inaffidabile","8","1","Italian","L2"
"500",146,"saggia","1","9","Italian","L2"
"501",146,"riservata","1","9","Italian","L2"
"502",146,"scrupolosa","6","5","Italian","L2"
"503",146,"osceno","9","1","Italian","L2"
